UNDERLYING                          ,SYMBOL    ,Dec-20,Jan-21,Feb-21,Mar-21,Jun-21,Sep-21,Dec-21,Jun-22,Dec-22,Jun-23,Dec-23,Jun-24,Dec-24,Jun-25,,
NIFTY BANK                          ,BANKNIFTY ,25,25,25,25,25,25,           ,           ,           ,           ,           ,           ,           ,           ,,
NIFTY 50                            ,NIFTY     ,75,75,75,75,75,75,75,75,75,75,75,75,75,75,,
Derivatives on Individual Securities,Symbol    ,Dec-20,Jan-21,Feb-21,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,
ACC LIMITED                         ,ACC       ,500,500,500,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""ACC.NS"","
ADANI ENTERPRISES LIMITED           ,ADANIENT  ,2000,2000,2000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""ADANIENT.NS"","
ADANI PORT & SEZ LTD                ,ADANIPORTS,2500,2500,2500,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""ADANIPORTS.NS"","
AMBUJA CEMENTS LTD                  ,AMBUJACEM ,3000,3000,3000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""AMBUJACEM.NS"","
APOLLO HOSPITALS ENTER. L           ,APOLLOHOSP,500,500,500,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""APOLLOHOSP.NS"","
APOLLO TYRES LTD                    ,APOLLOTYRE,5000,5000,5000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""APOLLOTYRE.NS"","
BOSCH LIMITED                       ,BOSCHLTD  ,50,50,50,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""BOSCHLTD.NS"","
ASHOK LEYLAND LTD                   ,ASHOKLEY  ,9000,9000,9000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""ASHOKLEY.NS"","
CHOLAMANDALAM IN & FIN CO           ,CHOLAFIN  ,2500,2500,2500,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""CHOLAFIN.NS"","
AUROBINDO PHARMA LTD                ,AUROPHARMA,650,650,650,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""AUROPHARMA.NS"","
AXIS BANK LIMITED                   ,AXISBANK  ,1200,1200,1200,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""AXISBANK.NS"","
AMARA RAJA BATTERIES LTD.           ,AMARAJABAT,1000,1000,1000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""AMARAJABAT.NS"","
BAJAJ FINSERV LTD.                  ,BAJAJFINSV,125,125,125,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""BAJAJFINSV.NS"","
BAJAJ FINANCE LIMITED               ,BAJFINANCE,250,250,250,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,,"""BAJFINANCE.NS"","
